system,budget,selected_positive_count,fixed_negative_count,seed,sarcasm_dev_f1,sarcasm_test_f1,dev_threshold,pos_weight,data_hash,mask_hash
phobert_finetune,32,8,16,20260521,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,621B56D5F10057440C6B069E7EDD7CF6891BEC7F348BEC2DE1B3E67EB4D549D8
phobert_finetune,32,8,16,20260522,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,621B56D5F10057440C6B069E7EDD7CF6891BEC7F348BEC2DE1B3E67EB4D549D8
phobert_finetune,32,8,16,20260523,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,621B56D5F10057440C6B069E7EDD7CF6891BEC7F348BEC2DE1B3E67EB4D549D8
phobert_finetune,64,8,16,20260521,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,0988F23D1CA1298115202165EEAA1DAB0ADEEA4561ADB7EC204D473F38A7F26A
phobert_finetune,64,8,16,20260522,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,0988F23D1CA1298115202165EEAA1DAB0ADEEA4561ADB7EC204D473F38A7F26A
phobert_finetune,64,8,16,20260523,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,0988F23D1CA1298115202165EEAA1DAB0ADEEA4561ADB7EC204D473F38A7F26A
phobert_finetune,128,8,16,20260521,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,4900CCEB12CB4BBAA7651B916FB5C5CBA5BCF244FDEE1FAC93026B7049208DAC
phobert_finetune,128,8,16,20260522,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,4900CCEB12CB4BBAA7651B916FB5C5CBA5BCF244FDEE1FAC93026B7049208DAC
phobert_finetune,128,8,16,20260523,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,4900CCEB12CB4BBAA7651B916FB5C5CBA5BCF244FDEE1FAC93026B7049208DAC
phobert_finetune,256,8,16,20260521,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,73CCF08D5E5FCF18DD30A1C025B9903F716A86FB2EF8E869E16ACFEFB6685FCC
phobert_finetune,256,8,16,20260522,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,73CCF08D5E5FCF18DD30A1C025B9903F716A86FB2EF8E869E16ACFEFB6685FCC
phobert_finetune,256,8,16,20260523,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,73CCF08D5E5FCF18DD30A1C025B9903F716A86FB2EF8E869E16ACFEFB6685FCC
phobert_finetune,512,8,16,20260521,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,DB9AA26EDF3310691E8421D86DA6D42F1945B7FB53B77EF8F9759D6B4FDE0104
phobert_finetune,512,8,16,20260522,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,DB9AA26EDF3310691E8421D86DA6D42F1945B7FB53B77EF8F9759D6B4FDE0104
phobert_finetune,512,8,16,20260523,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,DB9AA26EDF3310691E8421D86DA6D42F1945B7FB53B77EF8F9759D6B4FDE0104
phobert_finetune,full,8,16,20260521,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,798A57679403C890904560CC0930B2A35ADCC0707D831A1CCCA0838E1DF6BC7C
phobert_finetune,full,8,16,20260522,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,798A57679403C890904560CC0930B2A35ADCC0707D831A1CCCA0838E1DF6BC7C
phobert_finetune,full,8,16,20260523,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,798A57679403C890904560CC0930B2A35ADCC0707D831A1CCCA0838E1DF6BC7C
vistral_7b_sft,32,8,16,20260521,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,621B56D5F10057440C6B069E7EDD7CF6891BEC7F348BEC2DE1B3E67EB4D549D8
vistral_7b_sft,32,8,16,20260522,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,621B56D5F10057440C6B069E7EDD7CF6891BEC7F348BEC2DE1B3E67EB4D549D8
vistral_7b_sft,32,8,16,20260523,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,621B56D5F10057440C6B069E7EDD7CF6891BEC7F348BEC2DE1B3E67EB4D549D8
vistral_7b_sft,64,8,16,20260521,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,0988F23D1CA1298115202165EEAA1DAB0ADEEA4561ADB7EC204D473F38A7F26A
vistral_7b_sft,64,8,16,20260522,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,0988F23D1CA1298115202165EEAA1DAB0ADEEA4561ADB7EC204D473F38A7F26A
vistral_7b_sft,64,8,16,20260523,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,0988F23D1CA1298115202165EEAA1DAB0ADEEA4561ADB7EC204D473F38A7F26A
vistral_7b_sft,128,8,16,20260521,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,4900CCEB12CB4BBAA7651B916FB5C5CBA5BCF244FDEE1FAC93026B7049208DAC
vistral_7b_sft,128,8,16,20260522,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,4900CCEB12CB4BBAA7651B916FB5C5CBA5BCF244FDEE1FAC93026B7049208DAC
vistral_7b_sft,128,8,16,20260523,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,4900CCEB12CB4BBAA7651B916FB5C5CBA5BCF244FDEE1FAC93026B7049208DAC
vistral_7b_sft,256,8,16,20260521,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,73CCF08D5E5FCF18DD30A1C025B9903F716A86FB2EF8E869E16ACFEFB6685FCC
vistral_7b_sft,256,8,16,20260522,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,73CCF08D5E5FCF18DD30A1C025B9903F716A86FB2EF8E869E16ACFEFB6685FCC
vistral_7b_sft,256,8,16,20260523,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,73CCF08D5E5FCF18DD30A1C025B9903F716A86FB2EF8E869E16ACFEFB6685FCC
vistral_7b_sft,512,8,16,20260521,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,DB9AA26EDF3310691E8421D86DA6D42F1945B7FB53B77EF8F9759D6B4FDE0104
vistral_7b_sft,512,8,16,20260522,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,DB9AA26EDF3310691E8421D86DA6D42F1945B7FB53B77EF8F9759D6B4FDE0104
vistral_7b_sft,512,8,16,20260523,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,DB9AA26EDF3310691E8421D86DA6D42F1945B7FB53B77EF8F9759D6B4FDE0104
vistral_7b_sft,full,8,16,20260521,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,798A57679403C890904560CC0930B2A35ADCC0707D831A1CCCA0838E1DF6BC7C
vistral_7b_sft,full,8,16,20260522,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,798A57679403C890904560CC0930B2A35ADCC0707D831A1CCCA0838E1DF6BC7C
vistral_7b_sft,full,8,16,20260523,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,798A57679403C890904560CC0930B2A35ADCC0707D831A1CCCA0838E1DF6BC7C
vipragsent_full_vistral,32,8,16,20260521,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,621B56D5F10057440C6B069E7EDD7CF6891BEC7F348BEC2DE1B3E67EB4D549D8
vipragsent_full_vistral,32,8,16,20260522,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,621B56D5F10057440C6B069E7EDD7CF6891BEC7F348BEC2DE1B3E67EB4D549D8
vipragsent_full_vistral,32,8,16,20260523,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,621B56D5F10057440C6B069E7EDD7CF6891BEC7F348BEC2DE1B3E67EB4D549D8
vipragsent_full_vistral,64,8,16,20260521,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,0988F23D1CA1298115202165EEAA1DAB0ADEEA4561ADB7EC204D473F38A7F26A
vipragsent_full_vistral,64,8,16,20260522,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,0988F23D1CA1298115202165EEAA1DAB0ADEEA4561ADB7EC204D473F38A7F26A
vipragsent_full_vistral,64,8,16,20260523,0.667349279387583,0.667349279387583,0.5,2.0,ACE74FB2B40E060F29E969E6351ADD243AE5B5D01BC844DB888B22CD0D158E15,0988F23D1CA1298115202165EEAA1DAB0ADEEA4561ADB7EC204D473F38A7F26A
