budget,sarcasm_test_f1
32,0.667349279387583
32,0.667349279387583
32,0.667349279387583
64,0.667349279387583
64,0.667349279387583
64,0.667349279387583
128,0.667349279387583
128,0.667349279387583
128,0.667349279387583
256,0.667349279387583
256,0.667349279387583
256,0.667349279387583
512,0.667349279387583
512,0.667349279387583
512,0.667349279387583
full,0.667349279387583
full,0.667349279387583
full,0.667349279387583
32,0.667349279387583
32,0.667349279387583
32,0.667349279387583
64,0.667349279387583
64,0.667349279387583
64,0.667349279387583
128,0.667349279387583
128,0.667349279387583
128,0.667349279387583
256,0.667349279387583
256,0.667349279387583
256,0.667349279387583
512,0.667349279387583
512,0.667349279387583
512,0.667349279387583
full,0.667349279387583
full,0.667349279387583
full,0.667349279387583
32,0.667349279387583
32,0.667349279387583
32,0.667349279387583
64,0.667349279387583
64,0.667349279387583
64,0.667349279387583
128,0.667349279387583
128,0.667349279387583
128,0.667349279387583
256,0.667349279387583
256,0.667349279387583
256,0.667349279387583
512,0.667349279387583
512,0.667349279387583
512,0.667349279387583
full,0.667349279387583
full,0.667349279387583
full,0.667349279387583
