system,seed,bin,lower,upper,count,mean_confidence,accuracy
phobert_pragmatic_finetune,20260521,0,0.0,0.1,7,0.043651510126555014,0.0
phobert_pragmatic_finetune,20260521,1,0.1,0.2,9,0.15159720702926638,0.0
phobert_pragmatic_finetune,20260521,2,0.2,0.30000000000000004,8,0.2488648342327392,0.0
phobert_pragmatic_finetune,20260521,3,0.30000000000000004,0.4,7,0.33323778962102607,0.0
phobert_pragmatic_finetune,20260521,4,0.4,0.5,9,0.4396525437561681,0.2222222222222222
phobert_pragmatic_finetune,20260521,5,0.5,0.6000000000000001,7,0.539074470853921,0.5714285714285714
phobert_pragmatic_finetune,20260521,6,0.6000000000000001,0.7000000000000001,4,0.622578012546418,0.75
phobert_pragmatic_finetune,20260521,7,0.7000000000000001,0.8,3,0.7518632784132618,1.0
phobert_pragmatic_finetune,20260521,8,0.8,0.9,8,0.8454606342300472,1.0
phobert_pragmatic_finetune,20260521,9,0.9,1.0,2,0.9553700746698225,1.0
phobert_pragmatic_finetune,20260522,0,0.0,0.1,7,0.043651510126555014,0.0
phobert_pragmatic_finetune,20260522,1,0.1,0.2,9,0.15159720702926638,0.0
phobert_pragmatic_finetune,20260522,2,0.2,0.30000000000000004,8,0.2488648342327392,0.0
phobert_pragmatic_finetune,20260522,3,0.30000000000000004,0.4,7,0.33323778962102607,0.0
phobert_pragmatic_finetune,20260522,4,0.4,0.5,9,0.4396525437561681,0.2222222222222222
phobert_pragmatic_finetune,20260522,5,0.5,0.6000000000000001,7,0.539074470853921,0.5714285714285714
phobert_pragmatic_finetune,20260522,6,0.6000000000000001,0.7000000000000001,4,0.622578012546418,0.75
phobert_pragmatic_finetune,20260522,7,0.7000000000000001,0.8,3,0.7518632784132618,1.0
phobert_pragmatic_finetune,20260522,8,0.8,0.9,8,0.8454606342300472,1.0
phobert_pragmatic_finetune,20260522,9,0.9,1.0,2,0.9553700746698225,1.0
phobert_pragmatic_finetune,20260523,0,0.0,0.1,7,0.043651510126555014,0.0
phobert_pragmatic_finetune,20260523,1,0.1,0.2,9,0.15159720702926638,0.0
phobert_pragmatic_finetune,20260523,2,0.2,0.30000000000000004,8,0.2488648342327392,0.0
phobert_pragmatic_finetune,20260523,3,0.30000000000000004,0.4,7,0.33323778962102607,0.0
phobert_pragmatic_finetune,20260523,4,0.4,0.5,9,0.4396525437561681,0.2222222222222222
phobert_pragmatic_finetune,20260523,5,0.5,0.6000000000000001,7,0.539074470853921,0.5714285714285714
phobert_pragmatic_finetune,20260523,6,0.6000000000000001,0.7000000000000001,4,0.622578012546418,0.75
phobert_pragmatic_finetune,20260523,7,0.7000000000000001,0.8,3,0.7518632784132618,1.0
phobert_pragmatic_finetune,20260523,8,0.8,0.9,8,0.8454606342300472,1.0
phobert_pragmatic_finetune,20260523,9,0.9,1.0,2,0.9553700746698225,1.0
vistral_pragmatic_sft,20260521,0,0.0,0.1,8,0.03365366170055841,0.0
vistral_pragmatic_sft,20260521,1,0.1,0.2,7,0.1657333197328246,0.0
vistral_pragmatic_sft,20260521,2,0.2,0.30000000000000004,8,0.24764990275744278,0.0
vistral_pragmatic_sft,20260521,3,0.30000000000000004,0.4,10,0.3450245068297313,0.1
vistral_pragmatic_sft,20260521,4,0.4,0.5,4,0.45119851792798255,0.25
vistral_pragmatic_sft,20260521,5,0.5,0.6000000000000001,11,0.553551937513523,0.5454545454545454
vistral_pragmatic_sft,20260521,6,0.6000000000000001,0.7000000000000001,6,0.6552786489132311,0.6666666666666666
vistral_pragmatic_sft,20260521,7,0.7000000000000001,0.8,7,0.7452184163636112,1.0
vistral_pragmatic_sft,20260521,8,0.8,0.9,2,0.8731043662577552,1.0
vistral_pragmatic_sft,20260521,9,0.9,1.0,1,0.9430421006808962,1.0
vistral_pragmatic_sft,20260522,0,0.0,0.1,8,0.03365366170055841,0.0
vistral_pragmatic_sft,20260522,1,0.1,0.2,7,0.1657333197328246,0.0
vistral_pragmatic_sft,20260522,2,0.2,0.30000000000000004,8,0.24764990275744278,0.0
vistral_pragmatic_sft,20260522,3,0.30000000000000004,0.4,10,0.3450245068297313,0.1
vistral_pragmatic_sft,20260522,4,0.4,0.5,4,0.45119851792798255,0.25
vistral_pragmatic_sft,20260522,5,0.5,0.6000000000000001,11,0.553551937513523,0.5454545454545454
vistral_pragmatic_sft,20260522,6,0.6000000000000001,0.7000000000000001,6,0.6552786489132311,0.6666666666666666
vistral_pragmatic_sft,20260522,7,0.7000000000000001,0.8,7,0.7452184163636112,1.0
vistral_pragmatic_sft,20260522,8,0.8,0.9,2,0.8731043662577552,1.0
vistral_pragmatic_sft,20260522,9,0.9,1.0,1,0.9430421006808962,1.0
vistral_pragmatic_sft,20260523,0,0.0,0.1,8,0.03365366170055841,0.0
vistral_pragmatic_sft,20260523,1,0.1,0.2,7,0.1657333197328246,0.0
vistral_pragmatic_sft,20260523,2,0.2,0.30000000000000004,8,0.24764990275744278,0.0
vistral_pragmatic_sft,20260523,3,0.30000000000000004,0.4,10,0.3450245068297313,0.1
vistral_pragmatic_sft,20260523,4,0.4,0.5,4,0.45119851792798255,0.25
vistral_pragmatic_sft,20260523,5,0.5,0.6000000000000001,11,0.553551937513523,0.5454545454545454
vistral_pragmatic_sft,20260523,6,0.6000000000000001,0.7000000000000001,6,0.6552786489132311,0.6666666666666666
vistral_pragmatic_sft,20260523,7,0.7000000000000001,0.8,7,0.7452184163636112,1.0
vistral_pragmatic_sft,20260523,8,0.8,0.9,2,0.8731043662577552,1.0
vistral_pragmatic_sft,20260523,9,0.9,1.0,1,0.9430421006808962,1.0
vipragsent_full_vistral,20260521,0,0.0,0.1,7,0.029342905377616968,0.0
vipragsent_full_vistral,20260521,1,0.1,0.2,5,0.14463997314506824,0.0
vipragsent_full_vistral,20260521,2,0.2,0.30000000000000004,10,0.25955453133531553,0.0
vipragsent_full_vistral,20260521,3,0.30000000000000004,0.4,7,0.33686693712730614,0.0
vipragsent_full_vistral,20260521,4,0.4,0.5,11,0.43932725153882934,0.09090909090909091
vipragsent_full_vistral,20260521,5,0.5,0.6000000000000001,5,0.5460048760432202,0.6
vipragsent_full_vistral,20260521,6,0.6000000000000001,0.7000000000000001,9,0.6481877967538323,0.8888888888888888
vipragsent_full_vistral,20260521,7,0.7000000000000001,0.8,4,0.7376178511468399,1.0
vipragsent_full_vistral,20260521,8,0.8,0.9,3,0.8291660417643291,1.0
vipragsent_full_vistral,20260521,9,0.9,1.0,3,0.9586215819820921,1.0
vipragsent_full_vistral,20260522,0,0.0,0.1,7,0.029342905377616968,0.0
vipragsent_full_vistral,20260522,1,0.1,0.2,5,0.14463997314506824,0.0
vipragsent_full_vistral,20260522,2,0.2,0.30000000000000004,10,0.25955453133531553,0.0
vipragsent_full_vistral,20260522,3,0.30000000000000004,0.4,7,0.33686693712730614,0.0
vipragsent_full_vistral,20260522,4,0.4,0.5,11,0.43932725153882934,0.09090909090909091
vipragsent_full_vistral,20260522,5,0.5,0.6000000000000001,5,0.5460048760432202,0.6
vipragsent_full_vistral,20260522,6,0.6000000000000001,0.7000000000000001,9,0.6481877967538323,0.8888888888888888
vipragsent_full_vistral,20260522,7,0.7000000000000001,0.8,4,0.7376178511468399,1.0
vipragsent_full_vistral,20260522,8,0.8,0.9,3,0.8291660417643291,1.0
vipragsent_full_vistral,20260522,9,0.9,1.0,3,0.9586215819820921,1.0
vipragsent_full_vistral,20260523,0,0.0,0.1,7,0.029342905377616968,0.0
vipragsent_full_vistral,20260523,1,0.1,0.2,5,0.14463997314506824,0.0
vipragsent_full_vistral,20260523,2,0.2,0.30000000000000004,10,0.25955453133531553,0.0
vipragsent_full_vistral,20260523,3,0.30000000000000004,0.4,7,0.33686693712730614,0.0
vipragsent_full_vistral,20260523,4,0.4,0.5,11,0.43932725153882934,0.09090909090909091
vipragsent_full_vistral,20260523,5,0.5,0.6000000000000001,5,0.5460048760432202,0.6
vipragsent_full_vistral,20260523,6,0.6000000000000001,0.7000000000000001,9,0.6481877967538323,0.8888888888888888
vipragsent_full_vistral,20260523,7,0.7000000000000001,0.8,4,0.7376178511468399,1.0
vipragsent_full_vistral,20260523,8,0.8,0.9,3,0.8291660417643291,1.0
vipragsent_full_vistral,20260523,9,0.9,1.0,3,0.9586215819820921,1.0
