system,seed,label,bin_index,bin_lower,bin_upper,count,mean_confidence,empirical_positive_rate,absolute_gap
phobert_pragmatic_finetune,20260521,implicit_sentiment,0,0.0,0.1,7,0.043651510126555014,0.0,0.043651510126555014
phobert_pragmatic_finetune,20260521,implicit_sentiment,1,0.1,0.2,9,0.15159720702926638,0.0,0.15159720702926638
phobert_pragmatic_finetune,20260521,implicit_sentiment,2,0.2,0.30000000000000004,8,0.2488648342327392,0.0,0.2488648342327392
phobert_pragmatic_finetune,20260521,implicit_sentiment,3,0.30000000000000004,0.4,7,0.33323778962102607,0.0,0.33323778962102607
phobert_pragmatic_finetune,20260521,implicit_sentiment,4,0.4,0.5,9,0.4396525437561681,0.2222222222222222,0.21743032153394587
phobert_pragmatic_finetune,20260521,implicit_sentiment,5,0.5,0.6000000000000001,7,0.539074470853921,0.5714285714285714,0.03235410057465038
phobert_pragmatic_finetune,20260521,implicit_sentiment,6,0.6000000000000001,0.7000000000000001,4,0.622578012546418,0.75,0.12742198745358202
phobert_pragmatic_finetune,20260521,implicit_sentiment,7,0.7000000000000001,0.8,3,0.7518632784132618,1.0,0.24813672158673816
phobert_pragmatic_finetune,20260521,implicit_sentiment,8,0.8,0.9,8,0.8454606342300472,1.0,0.15453936576995275
phobert_pragmatic_finetune,20260521,implicit_sentiment,9,0.9,1.0,2,0.9553700746698225,1.0,0.04462992533017751
phobert_pragmatic_finetune,20260521,sarcasm,0,0.0,0.1,7,0.05855834122650209,0.0,0.05855834122650209
phobert_pragmatic_finetune,20260521,sarcasm,1,0.1,0.2,8,0.17096755224667726,0.0,0.17096755224667726
phobert_pragmatic_finetune,20260521,sarcasm,2,0.2,0.30000000000000004,11,0.23478961054637235,0.09090909090909091,0.14388051963728143
phobert_pragmatic_finetune,20260521,sarcasm,3,0.30000000000000004,0.4,16,0.3377649262803071,0.0625,0.2752649262803071
phobert_pragmatic_finetune,20260521,sarcasm,4,0.4,0.5,8,0.45520510591719815,0.25,0.20520510591719815
phobert_pragmatic_finetune,20260521,sarcasm,5,0.5,0.6000000000000001,5,0.5351510736689088,0.6,0.06484892633109118
phobert_pragmatic_finetune,20260521,sarcasm,6,0.6000000000000001,0.7000000000000001,2,0.653003693527842,1.0,0.34699630647215796
phobert_pragmatic_finetune,20260521,sarcasm,7,0.7000000000000001,0.8,3,0.7743853783754636,1.0,0.22561462162453638
phobert_pragmatic_finetune,20260521,sarcasm,8,0.8,0.9,2,0.8390920885248148,1.0,0.16090791147518524
phobert_pragmatic_finetune,20260521,sarcasm,9,0.9,1.0,2,0.9672096837418804,1.0,0.03279031625811957
phobert_pragmatic_finetune,20260521,irony,0,0.0,0.1,4,0.048434412910438006,0.0,0.048434412910438006
phobert_pragmatic_finetune,20260521,irony,1,0.1,0.2,4,0.14174830515183734,0.0,0.14174830515183734
phobert_pragmatic_finetune,20260521,irony,2,0.2,0.30000000000000004,11,0.23175827701738774,0.0,0.23175827701738774
phobert_pragmatic_finetune,20260521,irony,3,0.30000000000000004,0.4,14,0.3519743178854261,0.0,0.3519743178854261
phobert_pragmatic_finetune,20260521,irony,4,0.4,0.5,8,0.4400896842172662,0.125,0.3150896842172662
phobert_pragmatic_finetune,20260521,irony,5,0.5,0.6000000000000001,5,0.5456270225205869,0.6,0.054372977479413054
phobert_pragmatic_finetune,20260521,irony,6,0.6000000000000001,0.7000000000000001,8,0.6484968233594517,0.875,0.2265031766405483
phobert_pragmatic_finetune,20260521,irony,7,0.7000000000000001,0.8,4,0.7601740580570869,1.0,0.23982594194291307
phobert_pragmatic_finetune,20260521,irony,8,0.8,0.9,3,0.8701933573768009,1.0,0.12980664262319908
phobert_pragmatic_finetune,20260521,irony,9,0.9,1.0,3,0.9428814864942435,1.0,0.057118513505756474
phobert_pragmatic_finetune,20260521,idiom_figurative,0,0.0,0.1,8,0.06284790623620136,0.0,0.06284790623620136
phobert_pragmatic_finetune,20260521,idiom_figurative,1,0.1,0.2,8,0.14286713038453142,0.0,0.14286713038453142
phobert_pragmatic_finetune,20260521,idiom_figurative,2,0.2,0.30000000000000004,9,0.2489904747808749,0.0,0.2489904747808749
phobert_pragmatic_finetune,20260521,idiom_figurative,3,0.30000000000000004,0.4,11,0.378635548674593,0.0,0.378635548674593
phobert_pragmatic_finetune,20260521,idiom_figurative,4,0.4,0.5,10,0.44945978365808037,0.2,0.24945978365808036
