system,run_id,seed,dev_loss,dev_macro_pragmatic_f1,dev_metric,epoch,peak_memory_gb,seconds,train_loss
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260521,21,4.505818956375122,0.6664085560206859,0.6664085560206859,1.0,13.503221988677979,567.767133041285,23.058113382339478
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260521,21,4.606260042190552,0.7840923336544005,0.7840923336544005,2.0,13.503221988677979,564.9083147258498,15.899019145011902
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260521,21,2.671779218673706,0.8624376866692862,0.8624376866692862,3.0,13.503221988677979,585.0150534859858,13.116071012496949
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260521,21,2.139790044784546,0.8923576522630885,0.8923576522630885,4.0,13.503221988677979,565.0187315819785,11.493703964233399
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260521,21,1.9584704514741897,0.9014885814497311,0.9014885814497311,5.0,13.503221988677979,570.3436640566215,10.443721238136291
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260521,21,2.0373190611600878,0.898158069216502,0.898158069216502,6.0,13.503221988677979,587.8434492889792,9.66304707813263
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260521,21,1.863358365058899,0.9232057095980784,0.9232057095980784,7.0,13.503221988677979,583.1366912270896,9.11345394039154
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260521,21,1.882768283098936,0.9254283499280715,0.9254283499280715,8.0,13.503221988677979,584.532143753022,8.757706074237824
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260521,21,1.8234321225881576,0.9250700230704473,0.9250700230704473,9.0,13.503221988677979,577.3660791991279,8.575396906375884
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260521,21,1.8218660763204098,0.9275962387940221,0.9275962387940221,10.0,13.503221988677979,559.3144483910874,8.50807834815979
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260522,22,4.433035417556763,0.657076211004092,0.657076211004092,1.0,13.503221988677979,569.0524683301337,23.196970913887025
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260522,22,3.8534254856109618,0.7843413524007742,0.7843413524007742,2.0,13.503221988677979,579.0452974275686,15.303614100456238
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260522,22,2.6954909596443177,0.8686823204836266,0.8686823204836266,3.0,13.503221988677979,574.9667300991714,12.992519024848939
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260522,22,2.270374352693558,0.8908424316176897,0.8908424316176897,4.0,13.503221988677979,577.1806829557754,11.531945488929749
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260522,22,2.010875128746033,0.9103844408050001,0.9103844408050001,5.0,13.503221988677979,576.5644093607552,10.589942972183227
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260522,22,1.8868812861442565,0.914623630187475,0.914623630187475,6.0,13.503221988677979,566.326593820937,9.818097489356994
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260522,22,1.9768134672343731,0.9246750365726074,0.9246750365726074,7.0,13.503221988677979,562.9325025011785,9.220236730098724
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260522,22,1.9205382231473922,0.9268692865912233,0.9268692865912233,8.0,13.503221988677979,560.9729770971462,8.853867437362672
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260522,22,1.8545900628864764,0.9286164591465816,0.9286164591465816,9.0,13.503221988677979,560.1068353368901,8.64065134525299
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260522,22,1.841016990557313,0.9325326369550089,0.9325326369550089,10.0,13.503221988677979,567.9378799162805,8.573752596855163
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260523,23,4.851095176696777,0.6443385501424702,0.6443385501424702,1.0,13.503221988677979,563.986697895918,22.915189556121828
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260523,23,3.97313520860672,0.7900591801794993,0.7900591801794993,2.0,13.503221988677979,564.6986213191412,15.602340323448182
ViPragSent (XLM-R-large),xlmr_followup_q4_full_20260523,23,2.499623642921448,0.876668860625811,0.876668860625811,3.0,13.503221988677979,562.9201104040258,12.781846516609193
