question,experiment_id,metric,n,seeds,mean,std,min,max,seed_21_22_23_complete
Q1a,q1a_xlmr_pragmatic_finetune,pragmatic_f1,3,"21,22,23",0.9293425055693679,0.0014479038590645334,0.9285020357074613,0.9310143927657345,True
Q1a,q1a_xlmr_pragmatic_finetune,sarcasm_f1,3,"21,22,23",0.8812303494048656,0.004297944421503656,0.8787125335435649,0.8861930093138173,True
Q1a,q1a_xlmr_pragmatic_finetune,implicit_f1,3,"21,22,23",0.9216367596235836,0.0013081359457690052,0.9201465753971598,0.9225957042118833,True
Q2,xlmr_followup_q2_full,pragmatic_f1,3,"23,22,21",0.9275892903752344,0.005659866902353748,0.921064255003197,0.9311712269047875,True
Q2,xlmr_followup_q2_full,sarcasm_f1,3,"23,22,21",0.8740901224190037,0.004851150179126774,0.8702879226610813,0.879553681534375,True
Q2,xlmr_followup_q2_full,implicit_f1,3,"23,22,21",0.9150225850362018,0.013111417600876573,0.899976139346218,0.9239992952661924,True
Q2,xlmr_followup_q2_full,ece,3,"23,22,21",0.07826302909851074,0.005901887117138826,0.07280974346399306,0.08452923804521562,True
Q2,xlmr_followup_q2_no_emotion_auxiliary,pragmatic_f1,3,"23,22,21",0.9173395498819127,0.0066066555651598255,0.910850762481584,0.9240580803542349,True
Q2,xlmr_followup_q2_no_emotion_auxiliary,sarcasm_f1,3,"23,22,21",0.8696643910826349,0.017898618542202333,0.8522604156406973,0.8880197085312984,True
Q2,xlmr_followup_q2_no_emotion_auxiliary,implicit_f1,3,"23,22,21",0.9038048076758076,0.01635641290007086,0.8894762732021992,0.9216251561734021,True
Q2,xlmr_followup_q2_no_emotion_auxiliary,ece,3,"23,22,21",0.061784675404429445,0.02703922402462266,0.030567316412925732,0.07786980956792833,True
Q2,xlmr_followup_q2_no_multitask,pragmatic_f1,3,"23,21,22",0.747318081203324,0.023392621260201175,0.7205230765558683,0.7636711754948885,True
Q2,xlmr_followup_q2_no_multitask,sarcasm_f1,3,"23,21,22",0.743817368364326,0.08041512219826666,0.6522587610031556,0.8029891304347826,True
Q2,xlmr_followup_q2_no_multitask,implicit_f1,3,"23,21,22",0.7359641732148648,0.2552217386781062,0.441340782122905,0.8892699458358482,True
Q2,xlmr_followup_q2_no_multitask,ece,3,"23,21,22",0.11529807502031326,0.07013892231459652,0.051631503850221624,0.1904833410680294,True
Q2,xlmr_followup_q2_no_polarity_auxiliary,pragmatic_f1,3,"23,22,21",0.9280595828708623,0.001889360760546784,0.9266808039052856,0.9302131822110674,True
Q2,xlmr_followup_q2_no_polarity_auxiliary,sarcasm_f1,3,"23,22,21",0.8774682360959917,0.010136116031751824,0.8664196344838628,0.8863372566244669,True
Q2,xlmr_followup_q2_no_polarity_auxiliary,implicit_f1,3,"23,22,21",0.9176403803023375,0.0037840184399738504,0.914116389626363,0.9216395418927065,True
Q2,xlmr_followup_q2_no_rationale,pragmatic_f1,3,"22,21,23",0.9233160525651144,0.012874280695104755,0.9085093216290457,0.9318673042019373,True
Q2,xlmr_followup_q2_no_rationale,sarcasm_f1,3,"22,21,23",0.8572123638301802,0.020139855304506637,0.8339568877093282,0.8688700097628972,True
Q2,xlmr_followup_q2_no_rationale,implicit_f1,3,"22,21,23",0.9096019569167124,0.017452196814921953,0.890559856190994,0.9248350974075779,True
Q2,xlmr_followup_q2_no_rationale,ece,3,"22,21,23",0.06838699725766977,0.021211701633793465,0.04424364565312865,0.08403081753849978,True
Q2,xlmr_followup_q2_no_uncertainty_weighting,pragmatic_f1,3,"23,22,21",0.9289686364942652,0.002931198022040114,0.9255854568059516,0.9307467898518008,True
Q2,xlmr_followup_q2_no_uncertainty_weighting,sarcasm_f1,3,"23,22,21",0.8759718459042446,0.005851342546188383,0.8692631135081585,0.8800211162835341,True
Q2,xlmr_followup_q2_no_uncertainty_weighting,implicit_f1,3,"23,22,21",0.9239554340662487,0.003729296054947841,0.9206097173705938,0.9279761177716702,True
Q2,xlmr_followup_q2_no_uncertainty_weighting,ece,3,"23,22,21",0.0816403098255396,0.010760176581433554,0.06945975990593437,0.08985356684029104,True
Q3,xlmr_followup_q3_full_128,pragmatic_f1,3,"22,21,23",0.9158873587852757,0.0016820090365626446,0.9140547013714261,0.9173606251024181,True
Q3,xlmr_followup_q3_full_128,sarcasm_f1,3,"22,21,23",0.8516521676938269,0.007328702450401786,0.8464,0.8600246356641231,True
Q3,xlmr_followup_q3_full_128,implicit_f1,3,"22,21,23",0.9061294981598267,0.0010197320653961737,0.9050650840097446,0.9070977331846897,True
