dev_loss,dev_macro_pragmatic_f1,dev_metric,epoch,peak_memory_gb,seconds,train_loss
4.3110377855300905,0.6869727329555815,0.6814121320103961,1.0,13.503223419189453,560.0124516100623,21.44841288280487
3.539412333011627,0.7912756488209735,0.7004495504495505,2.0,13.503223419189453,559.5047057657503,14.515701825141907
2.6753135182857513,0.8628290664736413,0.7598752338961352,3.0,13.503223419189453,558.5258819428273,12.549332476615906
2.2900862119197845,0.8845758231744593,0.7547912307483956,4.0,13.503223419189453,561.0974293448962,11.393203295707703
1.9885162283182145,0.8956777629301889,0.784428884389293,5.0,13.503223419189453,559.9619509549811,10.52526103591919
1.8999665702581405,0.9134548395840532,0.8452187379016647,6.0,13.503223419189453,558.0275787897408,9.76317398262024
1.853935246527195,0.9218208311886468,0.8582093195709146,7.0,13.503223419189453,558.4238587790169,9.17571479320526
1.9516393763422966,0.91749145821727,0.8467628893074598,8.0,13.503223419189453,558.8394020739943,8.786640738487243
1.852376449495554,0.9259477510805857,0.8606616982155775,9.0,13.503223419189453,558.4263491542079,8.55415270471573
1.8139105643332005,0.9261728972999266,0.8421324253243414,10.0,13.503223419189453,559.2505099908449,8.431632840156555
